Date,Open,High,Low,close,Adj close*,Volume
02-Jan-17,250.24,251.38,240.43,243.6,241.42,"2,59,88,990"
03-Jan-17,241.81,244.19,238.94,244.9,242.71,"1,59,63,085"
04-Jan-17,243.6,244.19,240.03,242.9,240.72,"1,12,25,978"
05-Jan-17,242.8,243.7,241.52,245.35,243.15,"1,19,70,913"
06-Jan-17,243.8,246.77,243.3,245.9,243.7,"1,23,54,302"
09-Jan-17,244.19,246.12,243.8,247.05,244.84,"83,29,253"
10-Jan-17,245.48,246.77,244.19,248.3,246.07,"93,52,013"
11-Jan-17,247.41,250.93,246.77,252.15,249.89,"1,34,15,303"
12-Jan-17,250.63,252.17,248.3,251.25,249,"1,12,82,323"
13-Jan-17,249.74,250.34,246.87,250.9,248.65,"93,33,736"
16-Jan-17,248.8,254.1,248.45,255.75,253.46,"1,32,34,727"
17-Jan-17,255.14,256.33,252.12,256,253.71,"94,80,201"
18-Jan-17,254.8,256.98,254.3,258.35,256.03,"80,48,897"
19-Jan-17,254.89,259.65,254.2,258.4,256.08,"1,30,29,151"
20-Jan-17,256.18,258.17,248.06,251.05,248.8,"1,53,41,756"
23-Jan-17,248.75,252.91,247.86,254.15,251.87,"93,39,939"
24-Jan-17,252.81,254.7,251.72,254.9,252.62,"1,35,40,202"
25-Jan-17,253.26,258.66,251.92,259.2,256.88,"1,63,43,545"
27-Jan-17,256.88,265.8,256.88,266.45,264.06,"1,80,39,379"
30-Jan-17,263.47,265.5,261.04,263.95,261.58,"1,18,84,795"
31-Jan-17,258.81,261.49,257.32,260.35,258.02,"88,99,165"
01-Feb-17,259.65,269.46,259.26,270.7,268.27,"2,72,53,142"
02-Feb-17,269.41,272.54,266.29,273.3,270.85,"2,01,39,955"
03-Feb-17,270.55,276.05,269.56,277.55,275.06,"1,53,66,890"
06-Feb-17,277.49,279.97,273.53,277.05,274.57,"1,47,25,291"
07-Feb-17,275.36,277.49,273.82,277.9,275.41,"1,09,81,984"
08-Feb-17,275.61,276.75,270.16,277.2,274.72,"1,36,22,088"
09-Feb-17,276.3,277.79,268.42,275.85,273.38,"1,60,80,181"
10-Feb-17,276.25,280.27,272.54,276.35,273.87,"3,75,80,487"
13-Feb-17,275.31,275.76,267.78,271.65,269.22,"1,98,53,043"
14-Feb-17,269.56,270.55,265.7,270.2,267.78,"1,33,06,738"
15-Feb-17,268.52,270.06,264.66,268.95,266.54,"1,22,01,568"
16-Feb-17,274.52,274.52,267.23,270.5,268.08,"2,17,94,688"
17-Feb-17,268.72,271.2,265.3,269.35,266.94,"1,78,30,528"
20-Feb-17,267.48,269.12,265.6,269.65,267.23,"92,29,363"
21-Feb-17,267.58,269.07,266.24,270.7,268.27,"77,54,157"
22-Feb-17,269.46,272.24,267.08,272.3,269.86,"1,26,17,613"
23-Feb-17,269.26,270.55,267.18,270.45,268.03,"1,31,46,194"
27-Feb-17,268.03,269.02,265.2,268.25,265.85,"96,45,350"
28-Feb-17,266.49,268.82,265.6,269.2,266.79,"79,41,592"
01-Mar-17,267.58,270.85,267.38,271.75,269.31,"76,56,892"
02-Mar-17,270.55,272.24,264.11,267.3,264.9,"1,42,20,808"
03-Mar-17,263.86,266.49,261.88,265.05,262.67,"1,01,20,034"
06-Mar-17,264.21,267.93,263.96,269.85,267.43,"95,15,073"
07-Mar-17,268.37,268.47,264.01,267.8,265.4,"1,15,99,142"
08-Mar-17,265.4,267.88,263.62,269.9,267.48,"91,22,987"
09-Mar-17,266.59,271.45,265.99,273.25,270.8,"1,55,94,429"
10-Mar-17,272.04,273.08,267.08,272.05,269.61,"95,57,026"
14-Mar-17,269.61,275.9,269.61,274.65,272.19,"1,57,34,886"
15-Mar-17,270.21,277.99,270.21,277.35,274.86,"2,00,55,974"
16-Mar-17,275.51,277.69,273.58,279.3,276.8,"1,80,05,184"
17-Mar-17,276.95,276.99,271.05,274.15,271.69,"1,42,65,642"
20-Mar-17,272.29,272.29,269.36,273.9,271.45,"96,78,185"
21-Mar-17,271.94,274.57,267.73,272.35,269.91,"1,18,98,233"
